,Betweenness,Degree,Closeness,In Degree,Out Degree
Flat67823361,0.0,0.0019521717911176184,0.0,0.0,0.0019521717911176184
ShowMeTheSky1,1.149808214372865e-05,0.02879453391898487,0.038931296504254184,0.027818448023426062,0.0009760858955588092
Cagsil,0.0,0.004880429477794046,0.003953147877013177,0.004392386530014641,0.0004880429477794046
WeihlJennifer,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
BusyDrT,0.0,0.0014641288433382138,0.0004880429477794046,0.0009760858955588092,0.0004880429477794046
cocktail2Funk,0.0002164975674109321,0.007808687164470474,0.016153728598823767,0.002440214738897023,0.005368472425573451
prontipronto,7.391340542134374e-05,0.005368472425573451,0.01719590463745756,0.004392386530014641,0.0009760858955588092
Jartitameteneis,0.0,0.0009760858955588092,0.0,0.0,0.0009760858955588092
anarcopropiedad,0.0006272511616438913,0.017569546120058566,0.018255926156204944,0.007320644216691069,0.010248901903367497
wastroud,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
OBFSU,8.149935944363104e-05,0.02440214738897023,0.033150087018978425,0.022938018545632016,0.0014641288433382138
AR3oOoA____GQRX,1.1081053257686677e-05,0.0029282576866764276,0.012938666110708359,0.0019521717911176184,0.0009760858955588092
LeMatelot49,0.0,0.003416300634455832,0.0,0.0,0.003416300634455832
MrGig8,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
duxfightdemon,3.741344863347975e-05,0.009760858955588092,0.007423390100434101,0.007808687164470474,0.0019521717911176184
JosebaVasko,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
JohnSam57668631,0.0,0.0009760858955588092,0.0,0.0,0.0009760858955588092
multistagecorre,0.0,0.05124450951683748,0.21295153430866257,0.05075646656905808,0.0004880429477794046
aSkepticalHuman,0.0,0.0019521717911176184,0.0009760858955588092,0.0014641288433382138,0.0004880429477794046
mimiselmi,0.0,0.0019521717911176184,0.0009760858955588092,0.0014641288433382138,0.0004880429477794046
MischellG,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
33dBm,0.0,0.003416300634455832,0.002440214738897023,0.0029282576866764276,0.0004880429477794046
Joyce95754970,0.0,0.002440214738897023,0.0,0.0,0.002440214738897023
Chemtrail_Watch,0.0,0.008784773060029283,0.012783175828563824,0.008296730112249878,0.0004880429477794046
SAIDI6661,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
opusfocus,0.0,0.0004880429477794046,0.0004880429477794046,0.0004880429477794046,0.0
lizzyj5435,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
bonlives68,0.0,0.004392386530014641,0.0,0.0,0.004392386530014641
tatiana_orsa,0.0,0.0014641288433382138,0.0,0.0,0.0014641288433382138
Dougarony,3.574533308931186e-07,0.002440214738897023,0.0004880429477794046,0.0009760858955588092,0.0014641288433382138
tof_tof01,0.0,0.016593460224499756,0.04979099030279882,0.016105417276720352,0.0004880429477794046
BrutCel,0.0005445801496156663,0.024890190336749635,0.02638975464164279,0.018545632015617375,0.00634455832113226
oscarbjj,2.561748871400684e-06,0.007808687164470474,0.022215663201173377,0.00634455832113226,0.0014641288433382138
Sterling2143,5.532583221490158e-05,0.01171303074670571,0.002440214738897023,0.0029282576866764276,0.008784773060029283
JesusCo89281639,0.0,0.009760858955588092,0.0,0.0,0.009760858955588092
jimmyroybloom,0.0,0.0009760858955588092,0.0,0.0,0.0009760858955588092
LaubePj,0.0,0.0014641288433382138,0.0004880429477794046,0.0009760858955588092,0.0004880429477794046
Tikicolada,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
LChemtrails,1.6681155441678868e-06,0.006832601268911664,0.019882749681972015,0.005856515373352855,0.0009760858955588092
nikiphedia,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
Kikesvb17,0.00014552322271026516,0.008784773060029283,0.011707314284652657,0.0029282576866764276,0.005856515373352855
whit3wiz01,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
_Spacegeek,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
kiwonka,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
TobiasDirking,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
UnFormedHeart,0.0,0.0014641288433382138,0.0004880429477794046,0.0009760858955588092,0.0004880429477794046
razorblack66,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
Elantara,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
Priscil79855548,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
HazelYule,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
Jodesai108,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
WeWatchYou2,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
paniela100,3.6897127155523025e-05,0.015129331381161543,0.012962896832482236,0.01268911664226452,0.002440214738897023
Palmdalekid2,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
2Pdf4I27JArtepp,0.00019310423275581586,0.016593460224499756,0.02506613058438171,0.014153245485602733,0.002440214738897023
Unit3d_We_Stand,0.0,0.0009760858955588092,0.0,0.0,0.0009760858955588092
ITanerof,0.0,0.0014641288433382138,0.0,0.0004880429477794046,0.0009760858955588092
jtaylortowry,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
eraiyofr,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
CeremonyGuy,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
MentosArthur,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
Sergiusz94,0.000171140711424272,0.005368472425573451,0.013598802136764905,0.002440214738897023,0.0029282576866764276
jeremias_tovar,0.0,0.0009760858955588092,0.0,0.0004880429477794046,0.0004880429477794046
RhondaStefonsky,0.0,0.0004880429477794046,0.0,0.0,0.0004880429477794046
BWaveResist2020,0.0,0.002440214738897023,0.0,0.0,0.002440214738897023
dukecitythree,0.0,0.0009760858955588092,0.0,0.0,0.0009760858955588092
