,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,Flat67823361,396,383,3,8165,,,,ShowMeTheSky1,406,284,3,4799,,,
1,RT,Cagsil,5237,98,612,430275,,,,Cagsil,5237,98,612,430275,,,
2,RT,WeihlJennifer,414,563,2,42515,,,,BusyDrT,15672,75,191,11738,,,
3,Tweet,BusyDrT,15672,75,191,11738,,,,BusyDrT,15672,75,191,11738,,,
4,RT,cocktail2Funk,614,873,46,21900,,,,prontipronto,513,137,7,5679,,,
5,RT,Jartitameteneis,799,753,0,49639,,,,anarcopropiedad,1048,1412,77,67441,,,
6,RT,wastroud,24326,25809,2,37433,,,,OBFSU,4342,3729,27,83694,,,
7,Tweet,AR3oOoA____GQRX,530,0,279,69959,,,,AR3oOoA____GQRX,4342,3729,27,83694,,,
8,RT,LeMatelot49,2044,1803,163,314076,,,,ShowMeTheSky1,406,284,3,4799,,,
9,RT,LeMatelot49,2044,1803,163,314076,,,,ShowMeTheSky1,406,284,3,4799,,,
10,RT,MrGig8,467,866,2,26442,,,,duxfightdemon,4380,3641,61,130016,,,
11,Tweet,JosebaVasko,2171,3328,0,21229,,,,JosebaVasko,4380,3641,61,130016,,,
12,RT,JohnSam57668631,427,0,11,70164,,,,multistagecorre,62009,30757,343,389796,,,
13,Tweet,aSkepticalHuman,469,233,9,3635,,,,aSkepticalHuman,62009,30757,343,389796,,,
14,Tweet,mimiselmi,76,198,7,4584,,,,mimiselmi,62009,30757,343,389796,,,
15,Tweet,multistagecorre,62009,30757,343,389796,,,,multistagecorre,62009,30757,343,389796,,,
16,RT,MischellG,31,185,3,543,,,,33dBm,2929,643,32,5960,,,
17,RT,Joyce95754970,503,1434,1,12050,,,,Chemtrail_Watch,8089,552,75,6492,,,
18,Tweet,SAIDI6661,271,916,3,31932,,,,SAIDI6661,8089,552,75,6492,,,
19,RT,Joyce95754970,503,1434,1,12050,,,,opusfocus,507,633,2,5711,,,
20,Tweet,lizzyj5435,96,164,14,1095,,,,lizzyj5435,507,633,2,5711,,,
21,RT,bonlives68,502,783,2,10578,,,,ShowMeTheSky1,406,284,3,4799,,,
22,RT,tatiana_orsa,202,118,0,21795,,,,duxfightdemon,4380,3641,61,130016,,,
23,RT,LeMatelot49,2044,1803,163,314076,,,,ShowMeTheSky1,406,284,3,4799,,,
24,RT,Dougarony,1243,1155,520,67891,,,,tof_tof01,681,448,10,36776,,,
25,Tweet,BrutCel,99,137,0,692,,,,BrutCel,681,448,10,36776,,,
26,RT,BrutCel,99,137,0,692,,,,oscarbjj,32,106,0,257,,,
27,RT,BrutCel,99,137,0,692,,,,ShowMeTheSky1,406,284,3,4799,,,
28,RT,Sterling2143,1187,643,5,28448,,,,ShowMeTheSky1,406,284,3,4799,,,
29,RT,JohnSam57668631,427,0,11,70164,,,,multistagecorre,62009,30757,343,389796,,,
30,RT,JesusCo89281639,591,3141,0,3721,,,,ShowMeTheSky1,406,284,3,4799,,,
31,RT,jimmyroybloom,608,1138,24,162068,,,,LaubePj,256,104,0,1626,,,
32,Tweet,multistagecorre,62009,30757,343,389796,,,,multistagecorre,256,104,0,1626,,,
33,RT,Tikicolada,708,808,1,20108,,,,LChemtrails,233,259,1,560,,,
34,RT,Cagsil,5237,98,612,430275,,,,Cagsil,5237,98,612,430275,,,
35,RT,nikiphedia,139,237,2,3315,,,,33dBm,2929,643,32,5960,,,
36,RT,Kikesvb17,80,99,1,1464,,,,ShowMeTheSky1,406,284,3,4799,,,
37,RT,whit3wiz01,59,88,0,1911,,,,Chemtrail_Watch,8089,552,75,6492,,,
38,RT,_Spacegeek,603,799,107,44177,,,,33dBm,2929,643,32,5960,,,
39,RT,kiwonka,512,842,65,71881,,,,33dBm,2929,643,32,5960,,,
40,RT,TobiasDirking,1024,121,58,50138,,,,33dBm,2929,643,32,5960,,,
41,Tweet,33dBm,2929,643,32,5960,,,,33dBm,2929,643,32,5960,,,
42,RT,JesusCo89281639,591,3141,0,3721,,,,ShowMeTheSky1,406,284,3,4799,,,
43,Tweet,UnFormedHeart,612,105,36,10116,,,,UnFormedHeart,406,284,3,4799,,,
44,RT,razorblack66,1596,769,8,354274,,,,duxfightdemon,4380,3641,61,130016,,,
45,Tweet,ShowMeTheSky1,406,284,3,4799,,,,ShowMeTheSky1,4380,3641,61,130016,,,
46,RT,Elantara,1570,1532,258,268002,,,,Chemtrail_Watch,8089,552,75,6492,,,
47,RT,Priscil79855548,921,923,1,81411,,,,duxfightdemon,4380,3641,61,130016,,,
48,Tweet,duxfightdemon,4380,3641,61,130016,,,,duxfightdemon,4380,3641,61,130016,,,
49,Tweet,HazelYule,1331,594,117,20370,,,,HazelYule,4380,3641,61,130016,,,
50,RT,Jodesai108,464,719,282,25102,,,,Chemtrail_Watch,8089,552,75,6492,,,
51,RT,WeWatchYou2,6,45,0,1162,,,,mimiselmi,76,198,7,4584,,,
52,RT,bonlives68,502,783,2,10578,,,,paniela100,2229,2223,84,62205,,,
53,RT,Palmdalekid2,1996,36,0,72228,,,,Chemtrail_Watch,8089,552,75,6492,,,
54,Tweet,paniela100,2229,2223,84,62205,,,,paniela100,8089,552,75,6492,,,
55,RT,2Pdf4I27JArtepp,251,357,5,2137,,,,ShowMeTheSky1,406,284,3,4799,,,
56,RT,Unit3d_We_Stand,1855,2249,6,15520,,,,Chemtrail_Watch,8089,552,75,6492,,,
57,Tweet,Chemtrail_Watch,8089,552,75,6492,,,,Chemtrail_Watch,8089,552,75,6492,,,
58,Tweet,ShowMeTheSky1,406,284,3,4799,,,,ShowMeTheSky1,8089,552,75,6492,,,
59,Tweet,ShowMeTheSky1,406,284,3,4799,,,,ShowMeTheSky1,8089,552,75,6492,,,
60,Tweet,ITanerof,450,539,1,15050,,,,ITanerof,8089,552,75,6492,,,
61,Tweet,jtaylortowry,5635,6185,198,67031,,,,jtaylortowry,8089,552,75,6492,,,
62,Tweet,eraiyofr,189,133,3,24334,,,,eraiyofr,8089,552,75,6492,,,
63,Tweet,CeremonyGuy,24,39,3,435,,,,CeremonyGuy,8089,552,75,6492,,,
64,Tweet,MentosArthur,3,18,0,16,,,,MentosArthur,8089,552,75,6492,,,
65,Tweet,MentosArthur,3,18,0,16,,,,MentosArthur,8089,552,75,6492,,,
66,RT,JohnSam57668631,427,0,11,70164,,,,multistagecorre,62009,30757,343,389796,,,
67,Tweet,multistagecorre,62009,30757,343,389796,,,,multistagecorre,62009,30757,343,389796,,,
68,Tweet,Sergiusz94,638,1801,3,62808,,,,Sergiusz94,62009,30757,343,389796,,,
69,Tweet,oscarbjj,32,106,0,257,,,,oscarbjj,62009,30757,343,389796,,,
70,Tweet,jeremias_tovar,7,9,0,878,,,,jeremias_tovar,62009,30757,343,389796,,,
71,RT,RhondaStefonsky,868,4728,25,38897,,,,multistagecorre,62009,30757,343,389796,,,
72,RT,BWaveResist2020,78,67,0,2410,,,,multistagecorre,62009,30757,343,389796,,,
73,Tweet,ShowMeTheSky1,406,284,3,4799,,,,ShowMeTheSky1,62009,30757,343,389796,,,
74,RT,dukecitythree,209,527,4,17444,,,,multistagecorre,62009,30757,343,389796,,,
75,Tweet,Sterling2143,1187,643,5,28448,,,,Sterling2143,62009,30757,343,389796,,,
76,RT,AitiDouze,110,46,42,3869,,,,prontipronto,513,137,7,5679,,,
77,RT,JohnSam57668631,427,0,11,70164,,,,multistagecorre,62009,30757,343,389796,,,
78,Tweet,multistagecorre,62009,30757,343,389796,,,,multistagecorre,62009,30757,343,389796,,,
79,RT,emimartingamez,1160,529,3,162764,,,,VDisidente,343,304,0,2696,,,
80,Tweet,anarcopropiedad,1048,1412,77,67441,,,,anarcopropiedad,343,304,0,2696,,,
81,Tweet,PoeTweetor,3303,4174,31,66081,,,,PoeTweetor,343,304,0,2696,,,
82,Tweet,MagtathMaggie,578,322,26,23078,,,,MagtathMaggie,343,304,0,2696,,,
83,RT,YoursTruly_Aqua,235,284,0,5432,,,,NaturalNewsHR,3041,6,39,7780,,,
84,RT,JesusCo89281639,591,3141,0,3721,,,,KellySeeksTruth,1033,1481,0,5429,,,
85,RT,JohnSam57668631,427,0,11,70164,,,,multistagecorre,62009,30757,343,389796,,,
86,RT,Preciou20225606,1404,1684,4,32168,,,,paniela100,2229,2223,84,62205,,,
87,RT,888algc,724,1403,3,23483,,,,multistagecorre,62009,30757,343,389796,,,
88,Tweet,multistagecorre,62009,30757,343,389796,,,,multistagecorre,62009,30757,343,389796,,,
89,RT,BWaveResist2020,78,67,0,2410,,,,anarcopropiedad,1048,1412,77,67441,,,
90,Tweet,MagtathMaggie,578,322,26,23078,,,,MagtathMaggie,1048,1412,77,67441,,,
91,Tweet,paniela100,2229,2223,84,62205,,,,paniela100,1048,1412,77,67441,,,
92,Tweet,MagtathMaggie,578,322,26,23078,,,,MagtathMaggie,1048,1412,77,67441,,,
93,RT,reignsneel211,1589,1408,13,96155,,,,multistagecorre,62009,30757,343,389796,,,
94,RT,FWaldoo,90,44,0,6672,,,,RODRICKgamer,6093,131,19,7965,,,
95,RT,anarcopropiedad,1048,1412,77,67441,,,,KellySeeksTruth,1033,1481,0,5429,,,
96,RT,bonlives68,502,783,2,10578,,,,prontipronto,513,137,7,5679,,,
97,RT,BWaveResist2020,78,67,0,2410,,,,anarcopropiedad,1048,1412,77,67441,,,
98,RT,bonlives68,502,783,2,10578,,,,anarcopropiedad,1048,1412,77,67441,,,
99,RT,UfoAkten,147,10,1,17883,,,,multistagecorre,62009,30757,343,389796,,,
100,RT,BinkiesTV,115,271,1,3507,,,,NaturalNewsHR,3041,6,39,7780,,,
101,RT,AntiAgify,210,158,4,2166,,,,NaturalNewsHR,3041,6,39,7780,,,
102,RT,omraj_jeetun,1032,906,5,35252,,,,TheArchitect009,5641,5408,6,22762,,,
103,RT,anarcopropiedad,1048,1412,77,67441,,,,anarcopropiedad,1048,1412,77,67441,,,
104,Tweet,anarcopropiedad,1048,1412,77,67441,,,,anarcopropiedad,1048,1412,77,67441,,,
105,RT,WaltiSiegrist,401,942,3,35117,,,,mimiselmi,76,198,7,4584,,,
106,RT,Kat51481190,3009,2785,1,152975,,,,multistagecorre,62009,30757,343,389796,,,
107,RT,TaraAngel22019,1021,1419,0,22685,,,,BlauweStorm,510,795,19,23406,,,
108,RT,ceom72,1254,4488,6,56626,,,,multistagecorre,62009,30757,343,389796,,,
109,RT,BillyhughesG,215,916,0,4692,,,,BlauweStorm,510,795,19,23406,,,
110,RT,MollyGalt,7235,7195,11,125439,,,,BlauweStorm,510,795,19,23406,,,
111,Tweet,anarcopropiedad,1048,1412,77,67441,,,,anarcopropiedad,510,795,19,23406,,,
112,RT,JohnSam57668631,427,0,11,70164,,,,multistagecorre,62009,30757,343,389796,,,
113,Tweet,anarcopropiedad,1048,1412,77,67441,,,,anarcopropiedad,62009,30757,343,389796,,,
114,RT,Yg8DRKPb5dJqEKx,335,112,7,7412,,,,Kokuwa2,247,4,3,1133,,,
