,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,PetrusMax4,906,1567,2,52974,,,,threadreaderapp,246961,1281,962,835482,,,
1,Tweet,exiledsurfer,14183,1527,948,167193,,,,exiledsurfer,246961,1281,962,835482,,,
2,Tweet,Michael60265952,2,15,0,464,,,,Michael60265952,246961,1281,962,835482,,,
3,RT,badcryptobitch,1923,353,40,9091,,,,DZack23,1748,712,44,10499,,,
4,RT,TCRPartyBot,624,1,17,35564,,,,DZack23,1748,712,44,10499,,,
5,Tweet,DZack23,1748,712,44,10499,,,,DZack23,1748,712,44,10499,,,
6,RT,olsense1,3868,3910,10,2917,,,,BarbMcQuade,305362,1000,1495,3476,,,
7,Tweet,Ignorem62281500,84,266,0,3704,,,,Ignorem62281500,305362,1000,1495,3476,,,
8,RT,JayRodge66,8158,7351,7,60196,,,,BarbMcQuade,305362,1000,1495,3476,,,
9,Tweet,kind_honest,4057,5002,2,11466,,,,kind_honest,305362,1000,1495,3476,,,
10,RT,wowwgran,524,1191,1,86225,,,,BarbMcQuade,305362,1000,1495,3476,,,
11,Tweet,stephen_housman,12,9,9,5097,,,,stephen_housman,305362,1000,1495,3476,,,
12,Tweet,MaryAliceBisho2,2870,3845,22,425343,,,,MaryAliceBisho2,305362,1000,1495,3476,,,
13,Tweet,SandyOverton3,19,120,0,1544,,,,SandyOverton3,305362,1000,1495,3476,,,
14,Tweet,daphnerp_perry,76,117,0,7577,,,,daphnerp_perry,305362,1000,1495,3476,,,
15,Tweet,hitechwaitress,39,51,0,1418,,,,hitechwaitress,305362,1000,1495,3476,,,
16,RT,DAVEROXX1,3167,4977,4,124554,,,,SeekerOTL,6502,730,64,9844,,,
17,Tweet,PutinsLapDog,473,1380,10,16661,,,,PutinsLapDog,6502,730,64,9844,,,
18,Tweet,EmergPrepGal,460,1360,15,16730,,,,EmergPrepGal,6502,730,64,9844,,,
19,Tweet,vancanste,28,100,0,3257,,,,vancanste,6502,730,64,9844,,,
20,Tweet,TradNash,97,234,0,1461,,,,TradNash,6502,730,64,9844,,,
21,Tweet,bear_edmund,91,281,0,1274,,,,bear_edmund,6502,730,64,9844,,,
22,RT,LAsamurai27,2485,4986,251,251438,,,,NEWSWORLD555,946,967,7,55641,,,
23,RT,ArgyleColin,287,130,42,47539,,,,Mimirocah1,388492,2536,2160,12984,,,
24,Tweet,DocSnoe,114,158,2,1240,,,,DocSnoe,388492,2536,2160,12984,,,
25,RT,bibletoten,1712,2107,2,29852,,,,j4diceusmc,447,523,6,14783,,,
26,Tweet,Asmallnotch,17,226,1,2736,,,,Asmallnotch,447,523,6,14783,,,
27,Tweet,avalontoyota250,20,178,0,244,,,,avalontoyota250,447,523,6,14783,,,
28,Tweet,avalontoyota250,20,178,0,244,,,,avalontoyota250,447,523,6,14783,,,
