,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,Cheridr77,4742,5108,8,77582,,,,ericbolling,1148168,902,4959,33218,,,
1,RT,PepeTheQFrogGm1,2849,461,4,23942,,,,ericbolling,1148168,902,4959,33218,,,
2,RT,sandybutton0418,308,261,7,9332,,,,Adjustedwell,23738,22896,148,82739,,,
3,RT,realSpringP,4564,5017,4,64065,,,,ericbolling,1148168,902,4959,33218,,,
4,RT,CincinnatusPax,1692,2278,23,82843,,,,ericbolling,1148168,902,4959,33218,,,
5,RT,vannacee,1570,2463,9,29237,,,,ericbolling,1148168,902,4959,33218,,,
6,RT,CharlesD1367,885,1228,2,22259,,,,ericbolling,1148168,902,4959,33218,,,
7,RT,Buriram74797694,148,473,1,1631,,,,CatNamus,9089,4758,39,17292,,,
8,RT,nolyklibs,9930,9497,60,27957,,,,Adjustedwell,23738,22896,148,82739,,,
9,RT,MAGAGRANDMASUE,621,655,3,61925,,,,ericbolling,1148168,902,4959,33218,,,
10,RT,seagraverick,562,343,1,69256,,,,ericbolling,1148168,902,4959,33218,,,
11,RT,pyorf,1942,1077,15,110721,,,,ericbolling,1148168,902,4959,33218,,,
12,RT,DonaldW40174618,12254,12671,5,62192,,,,ericbolling,1148168,902,4959,33218,,,
13,RT,lgb1060,685,542,3,44300,,,,ericbolling,1148168,902,4959,33218,,,
14,RT,gerikennerly,628,359,9,21496,,,,ericbolling,1148168,902,4959,33218,,,
15,RT,patchristophe12,170,79,0,88062,,,,ericbolling,1148168,902,4959,33218,,,
16,RT,cornelia_cagol,1602,2513,3,61869,,,,BlackDo04913777,3004,4937,2,4452,,,
17,RT,ThomasLeeDenni1,653,525,0,96109,,,,ericbolling,1148168,902,4959,33218,,,
18,RT,jenninemorgan,6818,7355,134,203231,,,,CatNamus,9089,4758,39,17292,,,
19,RT,FutureYesterd4y,25726,24837,9,5620,,,,ericbolling,1148168,902,4959,33218,,,
20,RT,KelloggChristel,307,169,1,5076,,,,ericbolling,1148168,902,4959,33218,,,
21,RT,deeputty67,232,90,2,47944,,,,ericbolling,1148168,902,4959,33218,,,
22,RT,McMerkelJones,1661,1566,9,23825,,,,ericbolling,1148168,902,4959,33218,,,
23,RT,lymynn2,4531,4918,3,71434,,,,Marlene45MAGA,48381,48055,16,97242,,,
24,RT,lawdawgseven,6675,6185,104,225322,,,,ericbolling,1148168,902,4959,33218,,,
25,RT,_PeteCummings,2994,1487,79,48519,,,,ericbolling,1148168,902,4959,33218,,,
26,RT,jeabas,375,1704,3,23961,,,,ericbolling,1148168,902,4959,33218,,,
27,RT,Scarywriter71,201,287,0,27492,,,,ericbolling,1148168,902,4959,33218,,,
28,RT,mariebr31295509,46,746,0,550,,,,Adjustedwell,23738,22896,148,82739,,,
29,RT,MsMacAttack321,18334,17884,145,237351,,,,ericbolling,1148168,902,4959,33218,,,
30,RT,WriterMaven,3763,3781,89,150198,,,,AllTrumpedUp20,685,721,0,67,,,
31,RT,TesterTwitt,7254,6069,47,137112,,,,ericbolling,1148168,902,4959,33218,,,
32,RT,richdurand77,574,1042,50,108915,,,,ericbolling,1148168,902,4959,33218,,,
33,RT,PlaysTrumpCard,83978,70273,207,170090,,,,ericbolling,1148168,902,4959,33218,,,
