,Betweenness,Degree,Closeness,In Degree,Out Degree
ForestAnonymous,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
tgphysics,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
gremblexyz,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
jessphoenix2018,0.0,0.008998875140607425,0.007874015748031496,0.00843644544431946,0.0005624296962879641
themathgay,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
BarbaraFantechi,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
TibeluthedT,0.0,0.0028121484814398203,0.0017997750281214852,0.0022497187851518562,0.0005624296962879641
USMCNoggin,1.2660207007044773e-06,0.003937007874015748,0.002530933633295838,0.0028121484814398203,0.0011248593925759281
Becauseofnow,0.0,0.01518560179977503,0.014060742407199102,0.014623172103487066,0.0005624296962879641
MasterDebateNet,0.0,0.007311586051743533,0.006229990481958986,0.006749156355455569,0.0005624296962879641
BerzerkerBuilds,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
BotSiduri,2.4713779095001982e-05,0.049493813273340834,0.0005624296962879641,0.0011248593925759281,0.04836895388076491
HujumesipeT,0.0,0.0028121484814398203,0.001687289088863892,0.0022497187851518562,0.0005624296962879641
th3k0w81,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
NerdPyle,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
RSWasteLnd,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
nanaof47,3.165051751761193e-07,0.003937007874015748,0.0022497187851518562,0.0028121484814398203,0.0011248593925759281
nicolepagelee,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
christophurious,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
raderje,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
khneori,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
crippled_giraff,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
tatzanx,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
KBloodfang,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
PrayingElves,0.0,0.0022497187851518562,0.0,0.0,0.0022497187851518562
JWOLFFH,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
TisforShirt,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
WeenieLinguini,0.0,0.2125984251968504,0.0,0.0,0.2125984251968504
ABurdiez,0.0,0.01799775028121485,0.01828316236589829,0.017435320584926885,0.0005624296962879641
ConstitutionOR,0.0,0.0033745781777277844,0.002343457067866517,0.0028121484814398203,0.0005624296962879641
Constitution_NH,3.0067991641731336e-06,0.005624296962879641,0.002343457067866517,0.0028121484814398203,0.0028121484814398203
ConstitutionNd,7.912629379402983e-08,0.0044994375703037125,0.001265466816647919,0.0016872890888638922,0.0028121484814398203
Caf2a3d1,0.0,0.0022497187851518562,0.0011248593925759281,0.0016872890888638922,0.0005624296962879641
isikmoon,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
MEConstitution,0.0,0.05343082114735659,0.0,0.0,0.05343082114735659
Quercuas,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
davidjcaron,0.0,0.0022497187851518562,0.001265466816647919,0.0016872890888638922,0.0005624296962879641
caelongrant,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
ttt_1836,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
naaaaataaleeee,4.114567277289551e-06,0.010123734533183354,0.00843644544431946,0.008998875140607425,0.0011248593925759281
Mike_Saloomon,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
T_money__w,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
MadWorldEarth,0.0,0.0005624296962879641,0.0005624296962879641,0.0005624296962879641,0.0
BrianSStaveley,0.0,0.0033745781777277844,0.002343457067866517,0.0028121484814398203,0.0005624296962879641
ArseniKarp,1.2660207007044773e-06,0.022497187851518562,0.0005624296962879641,0.0011248593925759281,0.021372328458942633
JacquesGrober21,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
20Minutes,0.0,0.008998875140607425,0.007874015748031496,0.00843644544431946,0.0005624296962879641
Greg94122503,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
TheDailyPlane,0.0,0.0028121484814398203,0.0017997750281214852,0.0022497187851518562,0.0005624296962879641
wegetarianski,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
JoshSundloff,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
FlatEarthCity,1.5825258758805966e-07,0.0033745781777277844,0.0005624296962879641,0.0011248593925759281,0.0022497187851518562
EFT_Seattle,6.1718509159343265e-06,0.005624296962879641,0.0022497187851518562,0.0028121484814398203,0.0028121484814398203
Nonkapisco,9.495155255283579e-07,0.003937007874015748,0.002530933633295838,0.0028121484814398203,0.0011248593925759281
Spacehehehe,0.0,0.060179977502812156,0.07350341711487744,0.05961754780652419,0.0005624296962879641
CharlyGonCast,0.0,0.0022497187851518562,0.0011248593925759281,0.0016872890888638922,0.0005624296962879641
MRMAKITFEELGOOD,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
terminalwill,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
folkerts_cory,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
peter_gaitho,1.9781573448507457e-06,0.003937007874015748,0.002530933633295838,0.0028121484814398203,0.0011248593925759281
grilabo,2.690293988997014e-06,0.007311586051743533,0.005671166104236971,0.006186726659167604,0.0011248593925759281
kozonakamuratv,0.0,0.0044994375703037125,0.005061867266591676,0.003937007874015748,0.0005624296962879641
badibulgator,0.0,0.0022497187851518562,0.0018406790060333366,0.0016872890888638922,0.0005624296962879641
Janitor_Who,0.0,0.005061867266591677,0.004141527763575008,0.0044994375703037125,0.0005624296962879641
Rachel__Robbins,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
AmielLibre,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
trumpkilledcan1,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
space_treasure8,2.075746440530049e-05,0.03487064116985377,0.034294925732708606,0.03374578177727784,0.0011248593925759281
ForestGrnRadio,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
FlatEarthTshirt,0.0,0.012935883014623173,0.017010228372616214,0.012373453318335208,0.0005624296962879641
Frequen15309040,0.0,0.0016872890888638922,0.0007499062617172854,0.0011248593925759281,0.0005624296962879641
FlatEarthRT,6.963113853874625e-06,0.010123734533183354,0.0005624296962879641,0.0005624296962879641,0.00956130483689539
MegClara1,0.0,0.0016872890888638922,0.0007499062617172854,0.0011248593925759281,0.0005624296962879641
thecheshiresam,0.0,0.0016872890888638922,0.0007499062617172854,0.0011248593925759281,0.0005624296962879641
FrankMariachi,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
LegoSexAddict,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
OneDuhMan,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
TVGLive,0.0,0.0028121484814398203,0.001687289088863892,0.0022497187851518562,0.0005624296962879641
Merlin273560484,0.0,0.0016872890888638922,0.0,0.0,0.0016872890888638922
hugh_bothwell,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
BenSonicz,0.0,0.0033745781777277844,0.0022497187851518562,0.0028121484814398203,0.0005624296962879641
LeBarbu727,0.0,0.0022497187851518562,0.0011248593925759281,0.0016872890888638922,0.0005624296962879641
FrancoisMalan_,1.5825258758805966e-07,0.0022497187851518562,0.0005624296962879641,0.0011248593925759281,0.0011248593925759281
KFeathers7,0.0,0.0028121484814398203,0.0022965879265091863,0.0022497187851518562,0.0005624296962879641
FlatEarthExpert,1.1077681131164175e-05,0.0033745781777277844,0.005206080009229615,0.0016872890888638922,0.0016872890888638922
HumanityWake,3.165051751761193e-07,0.0028121484814398203,0.0011248593925759281,0.0016872890888638922,0.0011248593925759281
UnCastellsMes,1.8990310510567159e-06,0.003937007874015748,0.001687289088863892,0.0022497187851518562,0.0016872890888638922
iambharathking,0.0,0.0022497187851518562,0.001265466816647919,0.0016872890888638922,0.0005624296962879641
warriorofwoke,0.0,0.007311586051743533,0.006484483557202408,0.006749156355455569,0.0005624296962879641
doukeshi8213,0.0,0.0022497187851518562,0.0011248593925759281,0.0016872890888638922,0.0005624296962879641
z3r0n0ns3ns3,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
mi_searcher,0.0,0.0016872890888638922,0.0007499062617172854,0.0011248593925759281,0.0005624296962879641
Mcscorpio81,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
MightyFeklhr,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
christ_bodyof,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
aguaenelcielo,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
RichardLongwood,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
Koianu,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
EseilaW,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
Racealien3,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
LeeFroch,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
Portia830,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
ludmilaasaeva,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
D_P_com,4.272819864877611e-06,0.006186726659167604,0.0022497187851518562,0.0028121484814398203,0.0033745781777277844
WellHealed,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
machirinman,0.0,0.0044994375703037125,0.0,0.0,0.0044994375703037125
0gQvF9h7aGqYw9P,0.0,0.014060742407199102,0.012935883014623173,0.013498312710911137,0.0005624296962879641
iamshoebraza,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
gldfit11,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
ZverkanP,1.2660207007044773e-06,0.0033745781777277844,0.0017997750281214852,0.0022497187851518562,0.0011248593925759281
nohelpneedhere,0.0,0.0016872890888638922,0.00140607424071991,0.0011248593925759281,0.0005624296962879641
dallaswinstoni1,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
ahmetyikilmazz,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
Agresif_Derwish,0.0,0.006186726659167604,0.0062600870543355995,0.005624296962879641,0.0005624296962879641
jeromeb04950188,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
MAK7PIA,0.0,0.0022497187851518562,0.0011248593925759281,0.0016872890888638922,0.0005624296962879641
shitetalkshow,0.0,0.0016872890888638922,0.0005624296962879641,0.0011248593925759281,0.0005624296962879641
genna65,0.0,0.0011248593925759281,0.0,0.0,0.0011248593925759281
zuka32bg,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
HigherBeing3,3.165051751761193e-07,0.0011248593925759281,0.0005624296962879641,0.0005624296962879641,0.0005624296962879641
smartassredfish,0.0,0.0028121484814398203,0.0020086774867427285,0.0022497187851518562,0.0005624296962879641
charger383se,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
Abeilledu86,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
VWe84745605,0.0,0.0011248593925759281,0.0,0.0,0.0011248593925759281
Tassdar3,1.7407784634686562e-06,0.0033745781777277844,0.001265466816647919,0.0016872890888638922,0.0016872890888638922
FlatEar96982690,0.0,0.003937007874015748,0.002892495580909529,0.0033745781777277844,0.0005624296962879641
spenwaar,0.0,0.0011248593925759281,0.0,0.0005624296962879641,0.0005624296962879641
KArtPostAll1,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
ninersince89,0.0,0.0011248593925759281,0.0,0.0,0.0011248593925759281
LFnord,0.0,0.0028121484814398203,0.001687289088863892,0.0022497187851518562,0.0005624296962879641
Seed_magda,0.0,0.0005624296962879641,0.0,0.0,0.0005624296962879641
