,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,Tweet,ForestAnonymous,331,494,1,3711,,,,ForestAnonymous,875421,448,4791,4129,,,
1,Tweet,tgphysics,490,470,3,8247,,,,tgphysics,875421,448,4791,4129,,,
2,RT,gremblexyz,159,107,6,9737,,,,jessphoenix2018,76226,4123,789,34981,,,
3,RT,themathgay,1699,1134,8,23142,,,,jessphoenix2018,76226,4123,789,34981,,,
4,RT,BarbaraFantechi,3341,1552,49,34226,,,,jessphoenix2018,76226,4123,789,34981,,,
5,Tweet,TibeluthedT,573,4,29,11724,,,,TibeluthedT,76226,4123,789,34981,,,
6,RT,USMCNoggin,687,1223,4,31950,,,,Becauseofnow,1682,1509,18,19493,,,
7,Tweet,MasterDebateNet,71,1,1,3201,,,,MasterDebateNet,1682,1509,18,19493,,,
8,RT,BerzerkerBuilds,749,558,8,69173,,,,jessphoenix2018,76226,4123,789,34981,,,
9,RT,BotSiduri,404,521,147,37974,,,,HujumesipeT,574,64,38,8652,,,
10,RT,th3k0w81,450,776,9,62756,,,,jessphoenix2018,76226,4123,789,34981,,,
11,RT,NerdPyle,17416,654,319,141768,,,,jessphoenix2018,76226,4123,789,34981,,,
12,RT,RSWasteLnd,643,1739,0,6008,,,,nanaof47,1766,1590,4,41988,,,
13,RT,nicolepagelee,1879,2070,30,40660,,,,jessphoenix2018,76226,4123,789,34981,,,
14,RT,christophurious,3087,1161,30,46041,,,,jessphoenix2018,76226,4123,789,34981,,,
15,RT,raderje,297,764,11,21477,,,,jessphoenix2018,76226,4123,789,34981,,,
16,Tweet,HujumesipeT,574,64,38,8652,,,,HujumesipeT,76226,4123,789,34981,,,
17,RT,khneori,462,3984,5,23417,,,,jessphoenix2018,76226,4123,789,34981,,,
18,RT,crippled_giraff,35,518,0,18218,,,,jessphoenix2018,76226,4123,789,34981,,,
19,RT,tatzanx,6231,6550,317,394141,,,,jessphoenix2018,76226,4123,789,34981,,,
20,RT,KBloodfang,381,472,11,19052,,,,jessphoenix2018,76226,4123,789,34981,,,
21,RT,PrayingElves,479,576,2,5623,,,,nanaof47,1766,1590,4,41988,,,
22,RT,JWOLFFH,526,3382,128,95640,,,,jessphoenix2018,76226,4123,789,34981,,,
23,Tweet,TisforShirt,3,54,0,193,,,,TisforShirt,76226,4123,789,34981,,,
24,Tweet,jessphoenix2018,76226,4123,789,34981,,,,jessphoenix2018,76226,4123,789,34981,,,
25,RT,WeenieLinguini,505,2,9,62979,,,,ABurdiez,357,101,1,852,,,
26,RT,WeenieLinguini,505,2,9,62979,,,,nanaof47,1766,1590,4,41988,,,
27,RT,WeenieLinguini,505,2,9,62979,,,,ConstitutionOR,154,1,21,8402,,,
28,RT,WeenieLinguini,505,2,9,62979,,,,Constitution_NH,397,55,72,27909,,,
29,RT,WeenieLinguini,505,2,9,62979,,,,ConstitutionNd,201,19,72,30172,,,
30,RT,WeenieLinguini,505,2,9,62979,,,,Caf2a3d1,0,2,0,65,,,
31,Tweet,ABurdiez,357,101,1,852,,,,ABurdiez,0,2,0,65,,,
32,Tweet,nanaof47,1766,1590,4,41988,,,,nanaof47,0,2,0,65,,,
33,Tweet,ConstitutionOR,154,1,21,8402,,,,ConstitutionOR,0,2,0,65,,,
34,Tweet,Constitution_NH,397,55,72,27909,,,,Constitution_NH,0,2,0,65,,,
35,Tweet,isikmoon,446,2872,33,132146,,,,isikmoon,0,2,0,65,,,
36,Tweet,ConstitutionNd,201,19,72,30172,,,,ConstitutionNd,0,2,0,65,,,
37,RT,MEConstitution,305,35,156,51833,,,,MasterDebateNet,71,1,1,3201,,,
38,RT,MEConstitution,305,35,156,51833,,,,BotSiduri,404,521,147,37974,,,
39,Tweet,Caf2a3d1,0,2,0,65,,,,Caf2a3d1,404,521,147,37974,,,
40,Tweet,Quercuas,137,220,22,24739,,,,Quercuas,404,521,147,37974,,,
41,Tweet,MasterDebateNet,71,1,1,3201,,,,MasterDebateNet,404,521,147,37974,,,
