,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,Renatab55,12656,13127,6,47578,,,,sjoy7997,3741,3773,0,19856,,,
1,Tweet,MarinusTriton,2,24,0,58,,,,MarinusTriton,3741,3773,0,19856,,,
2,RT,TKYSK8R,2037,4255,337,336090,,,,teddy_cat1,11798,8608,134,95125,,,
3,Tweet,teddy_cat1,11798,8608,134,95125,,,,teddy_cat1,11798,8608,134,95125,,,
4,RT,CaptnAtheist,7456,1071,246,125378,,,,philosophrob,25220,1470,104,3565,,,
5,RT,Milymouse70,1753,2300,2,20067,,,,sjoy7997,3741,3773,0,19856,,,
6,RT,chi_civilrights,263,157,3,363,,,,trappercreek,378,1590,20,11168,,,
7,RT,MinMtwit,29624,30969,13,97009,,,,sjoy7997,3741,3773,0,19856,,,
8,Tweet,jeffieyboy,57,164,0,330,,,,jeffieyboy,3741,3773,0,19856,,,
9,Tweet,Jet213,63,152,1,185,,,,Jet213,3741,3773,0,19856,,,
10,Tweet,Hottestmen92,628,487,4,2463,,,,Hottestmen92,3741,3773,0,19856,,,
11,RT,gary_patoka,7022,7062,0,32480,,,,sjoy7997,3741,3773,0,19856,,,
12,Tweet,EJKorvette,864,1012,68,41500,,,,EJKorvette,3741,3773,0,19856,,,
13,Tweet,trappercreek,378,1590,20,11168,,,,trappercreek,3741,3773,0,19856,,,
14,Tweet,EmeryvilleMatty,6414,6884,261,277718,,,,EmeryvilleMatty,3741,3773,0,19856,,,
15,RT,thedevman1,19755,18205,10,126774,,,,sjoy7997,3741,3773,0,19856,,,
16,Tweet,dcfairbank,10326,9823,307,159833,,,,dcfairbank,3741,3773,0,19856,,,
17,RT,chorkygirl1,6547,6617,2,45962,,,,sjoy7997,3741,3773,0,19856,,,
18,Tweet,radiator9987,169,736,5,6983,,,,radiator9987,3741,3773,0,19856,,,
19,Tweet,DiFive96,754,1085,0,2391,,,,DiFive96,3741,3773,0,19856,,,
20,Tweet,jjsnyder76,661,1361,39,10517,,,,jjsnyder76,3741,3773,0,19856,,,
21,RT,FungusInstitute,5417,4201,5,6323,,,,jimmyfungus,28389,19978,76,19320,,,
22,Tweet,1Oceanno,1693,1574,3,19896,,,,1Oceanno,28389,19978,76,19320,,,
23,Tweet,infoforblackz,0,0,0,11,,,,infoforblackz,28389,19978,76,19320,,,
24,RT,alil5he3p,8167,8888,2,26863,,,,brobs1971,3939,4642,19,13432,,,
25,RT,LoganYoung29,1379,1384,0,3089,,,,sjoy7997,3741,3773,0,19856,,,
26,Tweet,dcfairbank,10326,9823,307,159833,,,,dcfairbank,3741,3773,0,19856,,,
27,RT,13thethe,6843,6736,1,33604,,,,sjoy7997,3741,3773,0,19856,,,
28,Tweet,IP_Sidhu,945,923,3,9312,,,,IP_Sidhu,3741,3773,0,19856,,,
29,RT,mobycat6969,10926,10966,1,69742,,,,sjoy7997,3741,3773,0,19856,,,
30,RT,SJ58454,99,110,0,522,,,,sjoy7997,3741,3773,0,19856,,,
31,Tweet,sjoy7997,3741,3773,0,19856,,,,sjoy7997,3741,3773,0,19856,,,
32,RT,86coso,3696,4967,2,25236,,,,86coso,3696,4967,2,25236,,,
33,RT,1965Bee,157,470,0,2428,,,,kpnationalist19,11761,11805,5,29250,,,
34,Tweet,pnutbutterking,300,940,0,1699,,,,pnutbutterking,11761,11805,5,29250,,,
35,Tweet,silas216,2287,2518,128,163824,,,,silas216,11761,11805,5,29250,,,
