,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,Tweet,RHodgeLaw,11157,11110,39,22571,,,,RHodgeLaw,163489,12049,1520,50019,,,
1,RT,Wizznilliam,136,953,1,6614,,,,RevJJackson,163491,12049,1520,50019,,,
2,RT,RyanIrelanJane,8800,9676,14,84038,,,,JulianSvendsen,71393,50324,174,6679,,,
3,Tweet,GunsCoffee,1601,1624,30,2852,,,,GunsCoffee,71393,50324,174,6679,,,
4,RT,GlennyceJ,3767,4999,8,96911,,,,Dwight00738722,1368,4816,14,25269,,,
5,RT,TribbeyTaylor,352,974,1,2004,,,,aim33rs,81,354,0,1175,,,
6,Tweet,DylanMurphyIRL,1427,981,3,555,,,,DylanMurphyIRL,81,354,0,1175,,,
7,RT,Nyx1269,39,163,11,1369,,,,RevJJackson,163491,12049,1520,50019,,,
8,Tweet,CogitoErgoFlere,3874,4804,1,15256,,,,CogitoErgoFlere,163491,12049,1520,50019,,,
9,Tweet,MomentMagazine,10473,904,348,13793,,,,MomentMagazine,163491,12049,1520,50019,,,
10,Tweet,mrgee36988674,0,0,0,2,,,,mrgee36988674,163491,12049,1520,50019,,,
11,Tweet,InterKnowlogy,392,99,35,324,,,,InterKnowlogy,163491,12049,1520,50019,,,
12,RT,ElipieMegan,1632,1557,4,30031,,,,RevJJackson,163491,12049,1520,50019,,,
13,Tweet,mrgee36988674,0,0,0,2,,,,mrgee36988674,163491,12049,1520,50019,,,
14,RT,nicktalksalot,55,392,0,878,,,,TheG_ist,835,1885,80,34449,,,
15,Tweet,TheG_ist,835,1885,80,34449,,,,TheG_ist,835,1885,80,34449,,,
16,RT,AlabamaCollins,1,48,0,176,,,,RevJJackson,163491,12049,1520,50019,,,
17,RT,MilkDud39476526,6,74,0,54,,,,RevJJackson,163491,12049,1520,50019,,,
18,RT,jpacheco209,225,205,3,18506,,,,RevJJackson,163491,12049,1520,50019,,,
19,RT,DaLeague37,39,732,0,5452,,,,RevJJackson,163491,12049,1520,50019,,,
20,Tweet,rcarr57,18096,19045,265,291025,,,,rcarr57,163491,12049,1520,50019,,,
21,RT,JeanBelcher16,15,46,0,505,,,,awzurcher,22998,2250,671,28142,,,
22,RT,MaoZedung,2082,3616,21,52200,,,,RevJJackson,163491,12049,1520,50019,,,
23,RT,LianneHamilto10,100,150,0,12293,,,,RevJJackson,163491,12049,1520,50019,,,
24,Tweet,Dwight00738722,1368,4816,14,25269,,,,Dwight00738722,163491,12049,1520,50019,,,
25,RT,KimbyBing,9,74,0,553,,,,JulianSvendsen,71393,50324,174,6679,,,
26,RT,MorganJYoung13,394,404,14,3606,,,,RevJJackson,163491,12049,1520,50019,,,
27,Tweet,SpicyBoiArmy,2258,4976,14,1120,,,,SpicyBoiArmy,163491,12049,1520,50019,,,
28,RT,Stop2Care,213,702,17,9624,,,,RevJJackson,163491,12049,1520,50019,,,
29,Tweet,elumos,765,322,49,26258,,,,elumos,163491,12049,1520,50019,,,
30,RT,OversightEntert,38,197,6,9807,,,,RevJJackson,163491,12049,1520,50019,,,
31,RT,8Penny8,636,2974,8,25015,,,,RevJJackson,163491,12049,1520,50019,,,
32,Tweet,laurendesylva,256,904,3,4317,,,,laurendesylva,163491,12049,1520,50019,,,
33,Tweet,Buythisrecord,141,559,1,4083,,,,Buythisrecord,163491,12049,1520,50019,,,
34,Tweet,unclecharlie211,313,319,0,15222,,,,unclecharlie211,163491,12049,1520,50019,,,
35,Tweet,cynthianna3,3106,4449,152,17396,,,,cynthianna3,163491,12049,1520,50019,,,
36,Tweet,smilingwisdom,6,37,0,446,,,,smilingwisdom,163491,12049,1520,50019,,,
37,RT,Matthew_Chic,109,161,0,754,,,,RevJJackson,163491,12049,1520,50019,,,
38,RT,ChiBureaucrat,33,110,0,1134,,,,RevJJackson,163491,12049,1520,50019,,,
39,RT,LordBobbyConner,401,657,6,8128,,,,RevJJackson,163491,12049,1520,50019,,,
40,RT,joyfergie,756,331,108,84969,,,,RevJJackson,163491,12049,1520,50019,,,
41,RT,47whitebuffalo,798,2196,102,67734,,,,StatusCoup,19123,2805,148,3756,,,
42,Tweet,KennyCunningham,1039,644,16,7419,,,,KennyCunningham,19123,2805,148,3756,,,
43,RT,deaygo1,5,56,0,59,,,,RevJJackson,163491,12049,1520,50019,,,
44,RT,fromyk,380,1005,9,8488,,,,RevJJackson,163491,12049,1520,50019,,,
45,RT,StateBanjo,1678,4246,20,46728,,,,postje1917,185,156,1,1171,,,
46,Tweet,AmericanFire127,860,1105,0,4145,,,,AmericanFire127,185,156,1,1171,,,
47,Tweet,Mover2100,223,1411,9,20940,,,,Mover2100,185,156,1,1171,,,
48,RT,duke_unreal,146,2152,9,11126,,,,awzurcher,22998,2250,671,28142,,,
49,RT,lineside1,243,2328,29,23764,,,,RevJJackson,163491,12049,1520,50019,,,
50,RT,lulutomtom,607,1226,1,48343,,,,ProfJSCarberry,1377,1389,1,31003,,,
51,RT,Karachi_Kid_,88,356,0,522,,,,RevJJackson,163491,12049,1520,50019,,,
52,Tweet,Kimderella76,1194,1210,0,3066,,,,Kimderella76,163491,12049,1520,50019,,,
53,RT,hbsandpiper,704,747,1,2676,,,,RevJJackson,163491,12049,1520,50019,,,
54,RT,ferubaz,56,762,1,6200,,,,RevJJackson,163491,12049,1520,50019,,,
55,RT,cookbro4,24,80,0,862,,,,DrJillStein,270508,1660,3648,13798,,,
56,RT,TOpubo,776,1217,44,11556,,,,RevJJackson,163491,12049,1520,50019,,,
57,RT,XwizradX,55,232,1,7319,,,,RevJJackson,163491,12049,1520,50019,,,
58,RT,goalieadeux,2819,2937,31,106818,,,,RevJJackson,163491,12049,1520,50019,,,
59,RT,_magre,20,104,0,162,,,,RevJJackson,163491,12049,1520,50019,,,
60,RT,HowardZerelda,11,107,0,404,,,,RevJJackson,163491,12049,1520,50019,,,
61,RT,VoicesOfDissent,42,69,1,3054,,,,CullenYossarian,7411,2504,65,18735,,,
62,Tweet,Buythisrecord,141,559,1,4083,,,,Buythisrecord,7411,2504,65,18735,,,
63,RT,DJBirkin1,680,822,14,60909,,,,RevJJackson,163491,12049,1520,50019,,,
64,RT,WickTammy,2329,3156,4,12754,,,,JulianSvendsen,71393,50324,174,6679,,,
65,RT,Mal_Hari_1,171,461,1,5604,,,,RevJJackson,163491,12049,1520,50019,,,
66,RT,towe_mason,15,214,0,452,,,,RevJJackson,163491,12049,1520,50019,,,
67,RT,ModularMammoth,13,198,0,490,,,,RevJJackson,163491,12049,1520,50019,,,
68,RT,UraPunter,340,450,3,13089,,,,DrJillStein,270508,1660,3648,13798,,,
69,RT,BMOshi23,67,101,1,2041,,,,RevJJackson,163491,12049,1520,50019,,,
70,RT,bahmadi,57,261,0,3495,,,,Varneyco,645451,722,2003,16228,,,
71,RT,dronepill,220,1107,3,27875,,,,RevJJackson,163491,12049,1520,50019,,,
72,RT,JaredEHicks,851,5012,10,10984,,,,RevJJackson,163491,12049,1520,50019,,,
73,RT,kvnpkrwrd,1423,1141,207,179362,,,,RevJJackson,163491,12049,1520,50019,,,
74,RT,AmericanValiant,899,2150,0,2387,,,,Varneyco,645451,722,2003,16228,,,
75,RT,maryestorm,4275,4635,2,60304,,,,michaeljohns,206728,140306,2101,24477,,,
76,RT,UPTOWNGIRL2008,18344,12141,18,148380,,,,Varneyco,645451,722,2003,16228,,,
77,Tweet,BrainTrustLive,1129,948,31,7494,,,,BrainTrustLive,645451,722,2003,16228,,,
78,RT,joannemarierob1,2,99,0,480,,,,RevJJackson,163491,12049,1520,50019,,,
79,RT,marissailanaa72,31,37,0,1962,,,,DrJillStein,270508,1660,3648,13798,,,
80,RT,Terriberry0,326,614,2,5232,,,,RichardAngwin,176800,169430,1005,3653,,,
81,RT,PParzival,3670,5001,726,948172,,,,PParzival,3670,5001,726,948172,,,
82,RT,PParzival,3670,5001,726,948172,,,,PParzival,3670,5001,726,948172,,,
