,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,Tweet,psstpassiton,2389,4537,69,31730,,,,psstpassiton,163491,12049,1520,50019,,,
1,Tweet,SentientSuit,2429,4326,12,23802,,,,SentientSuit,163491,12049,1520,50019,,,
2,Tweet,ChuckH300ACCBLK,2814,3472,3,20211,,,,ChuckH300ACCBLK,163491,12049,1520,50019,,,
3,Tweet,JackBre09951552,1,5,0,10,,,,JackBre09951552,163491,12049,1520,50019,,,
4,Tweet,MaddenSatire,80,2,0,632,,,,MaddenSatire,163491,12049,1520,50019,,,
5,Tweet,andyshallal,7241,641,247,5642,,,,andyshallal,163491,12049,1520,50019,,,
6,RT,merlote777,4202,5000,3,78557,,,,C_conservative1,294,446,1,155,,,
7,RT,ungrandepescado,358,390,7,1111,,,,RunningHunted,114,61,4,3604,,,
8,Tweet,RunningHunted,114,61,4,3604,,,,RunningHunted,114,61,4,3604,,,
9,RT,Sylvaners,9417,10183,243,236735,,,,zaharako,16649,11093,28,8930,,,
10,Tweet,fredkarger,3227,1179,183,11658,,,,fredkarger,16649,11093,28,8930,,,
11,RT,eduloanrevolt,490,851,57,11534,,,,Muslims4USA,1829,1527,11,10982,,,
12,Tweet,thenewstack,24144,3020,1384,46078,,,,thenewstack,1829,1527,11,10982,,,
13,RT,Michael41336945,17,166,2,782,,,,JennUWinn84,1053,1159,9,830,,,
14,RT,BybeeWinecloud,2112,4576,12,54235,,,,Antinee,89,143,0,4931,,,
15,RT,chiefragingbull,2822,956,143,229275,,,,Breaking911,454040,0,5247,438,,,
16,RT,ahmadmawia,1775,5001,11,25563,,,,whisperwatch,966,197,70,41339,,,
17,RT,plynch1036,3151,4246,67,58702,,,,JuneauNana,517,609,20,49769,,,
18,RT,SaraGomezAranci,2062,507,1138,814469,,,,CartooningPeace,19087,952,575,6562,,,
19,RT,GuillaumeFR_,3169,4106,92,18128,,,,Etats_Unis,489,5579,10,90,,,
