,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,Danny30798186,4123,4080,1,64389,,,,RealJamesWoods,2217567,5014,8977,28563,,,
1,RT,RobertSacco18,427,480,0,10288,,,,Vaxman80,31,129,0,436,,,
2,RT,jblindzz58,1458,3825,5,14281,,,,Kulinski_crat_1,4642,5051,8,34205,,,
3,RT,ShirleyCatron,2741,1648,0,41753,,,,ReachEchoVoice,510,489,2,27476,,,
4,RT,Why45huh,1585,1462,3,23830,,,,Franky_Banky,676,2467,24,30598,,,
5,Tweet,JesusDValery,1355,3066,13,11800,,,,JesusDValery,676,2467,24,30598,,,
6,Tweet,osiris_neits,1687,1925,3,17824,,,,osiris_neits,676,2467,24,30598,,,
7,RT,AllenEdwardRic2,4646,4810,2,49983,,,,USAlivestrong,35632,38885,450,618447,,,
8,Tweet,LeniDiamond,2491,4985,23,72541,,,,LeniDiamond,35632,38885,450,618447,,,
9,Tweet,USAlivestrong,35632,38885,450,618447,,,,USAlivestrong,35632,38885,450,618447,,,
10,RT,SpicoliTaknCuba,240,518,0,9687,,,,Kulinski_crat_1,4642,5051,8,34205,,,
11,RT,GabrielArcari2,1715,2511,5,75612,,,,Kulinski_crat_1,4642,5051,8,34205,,,
12,RT,collyd420,399,1639,8,3461,,,,jimmy_dore,196959,1547,2022,24772,,,
13,Tweet,TrumpKingofthe1,1426,4866,6,19881,,,,TrumpKingofthe1,196959,1547,2022,24772,,,
14,Tweet,courtgregg,15,218,0,3739,,,,courtgregg,196959,1547,2022,24772,,,
15,Tweet,JoshuaShipman,23,178,0,278,,,,JoshuaShipman,196959,1547,2022,24772,,,
16,RT,DwightCooper16,14133,15113,20,250569,,,,Franky_Banky,676,2467,24,30598,,,
17,RT,Qin2it,1368,1732,2,19016,,,,varvel,10052,1751,316,13118,,,
18,RT,mazzei48,5450,5986,35,8700,,,,varvel,10052,1751,316,13118,,,
19,RT,breckhockey18,73,134,2,5044,,,,varvel,10052,1751,316,13118,,,
20,Tweet,mereel401,4,22,0,1722,,,,mereel401,10052,1751,316,13118,,,
21,RT,SocialistProf,2601,2893,9,25431,,,,jimmy_dore,196959,1547,2022,24772,,,
22,RT,INChrist17,7121,7733,5,7671,,,,IpamsySands,3143,2254,2,1630,,,
23,RT,AmoiaSamuel,7541,7521,10,40194,,,,SamRockford1,1211,1316,5,43,,,
24,RT,IrishForBernie,1699,2063,68,25310,,,,MetcalfeMegan,3257,4168,51,61935,,,
25,RT,icds_psu,393,435,14,1102,,,,McKennaCyberLaw,272,260,5,451,,,
26,RT,buddendorf,3008,4994,289,218756,,,,Ian56789,47764,4882,925,199317,,,
27,RT,buddendorf,3008,4994,289,218756,,,,Ian56789,47764,4882,925,199317,,,
28,Tweet,Dlamaa,42,311,1,1091,,,,Dlamaa,47764,4882,925,199317,,,
29,RT,SheilahBird,23976,23494,8,55505,,,,varvel,10052,1751,316,13118,,,
30,RT,dgendvil,3394,5001,279,674141,,,,Kulinski_crat_1,4642,5051,8,34205,,,
31,Tweet,MarkFromWI,1495,3889,50,4761,,,,MarkFromWI,4642,5051,8,34205,,,
32,RT,peacepumpkinpic,2067,1756,88,108176,,,,peacepumpkinpic,2067,1756,88,108176,,,
33,RT,litahart72,2603,4955,100,65227,,,,Kulinski_crat_1,4642,5051,8,34205,,,
34,RT,j2lm4u,231,93,53,86064,,,,Ian56789,47764,4882,925,199317,,,
35,RT,jojokejohn,183524,188848,2038,1588182,,,,Kulinski_crat_1,4642,5051,8,34205,,,
36,RT,DawnZobel,163,903,2,2313,,,,varvel,10052,1751,316,13118,,,
37,RT,AlexFFBRaider,6,74,0,1047,,,,Novelcoronaviru,126,6,1,45,,,
38,Tweet,mihotep,5588,1698,273,116475,,,,mihotep,126,6,1,45,,,
39,Tweet,DragonForce_One,14533,15246,245,169349,,,,DragonForce_One,126,6,1,45,,,
40,RT,IrrefutableMM,860,275,2,47268,,,,Novelcoronaviru,126,6,1,45,,,
41,Tweet,MartyArmstrong,423,348,40,2120,,,,MartyArmstrong,126,6,1,45,,,
42,RT,holynakamoto,1213,4998,110,15531,,,,aerlenbach,103,460,1,641,,,
43,RT,WebbRwebb8285,1578,2013,7,13909,,,,Kulinski_crat_1,4642,5051,8,34205,,,
44,RT,WarriorCandy,498,1773,13,23843,,,,tonybrasunas,1247,344,55,4108,,,
45,RT,truthglow,17968,18443,909,811528,,,,TheAltWorld,15495,1554,93,6112,,,
46,RT,TrickOH,102,1049,1,3842,,,,Kulinski_crat_1,4642,5051,8,34205,,,
47,RT,jojokejohn,183524,188848,2038,1588182,,,,Ian56789,47764,4882,925,199317,,,
48,RT,dave_cundiff,217,613,0,7855,,,,Franky_Banky,676,2467,24,30598,,,
49,Tweet,Kulinski_crat_1,4642,5051,8,34205,,,,Kulinski_crat_1,676,2467,24,30598,,,
50,RT,Albin_R6,8,65,0,50,,,,K_Stanziola,17,47,1,64,,,
51,RT,petra_servin,209,1340,4,12975,,,,Franky_Banky,676,2467,24,30598,,,
52,RT,ckolacia,8571,8856,154,321573,,,,Franky_Banky,676,2467,24,30598,,,
53,RT,truthglow,17968,18443,909,811528,,,,TheAltWorld,15495,1554,93,6112,,,
54,Tweet,Franky_Banky,676,2467,24,30598,,,,Franky_Banky,15495,1554,93,6112,,,
55,RT,steve_Beno3210,34594,35068,13,95732,,,,IpamsySands,3143,2254,2,1630,,,
56,Tweet,Teirersias,2294,2270,78,77189,,,,Teirersias,3143,2254,2,1630,,,
57,RT,Killazlnc,186,377,2,5035,,,,w_terrence,765152,627,2058,4266,,,
58,RT,truthglow,17968,18443,909,811528,,,,TheAltWorld,15495,1554,93,6112,,,
59,RT,RG_Woodhouse,84,626,1,4740,,,,Ian56789,47764,4882,925,199317,,,
60,Tweet,WhitneyWeltz,338,2551,4,52133,,,,WhitneyWeltz,47764,4882,925,199317,,,
61,RT,TEXOTX,1594,2253,3,110457,,,,varvel,10052,1751,316,13118,,,
62,Tweet,EmeryvilleMatty,6414,6884,261,277720,,,,EmeryvilleMatty,10052,1751,316,13118,,,
63,RT,willyloman1,1577,618,43,35872,,,,Ian56789,47764,4882,925,199317,,,
64,RT,gee_savvy,148,569,1,4579,,,,varvel,10052,1751,316,13118,,,
65,RT,JanMI19,1228,1743,7,381,,,,varvel,10052,1751,316,13118,,,
