A_handle,B_handle,type
trump_start,FlatFlix,RT
MccarthydoDave,Constitution_NH,RT
wiretechgirl,DAPFpodcast,RT
xrp_hodl_,TrustFlatEarth,RT
Constitution_NH,Constitution_NH,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
Constitution_NH,Trilluminarian,RT
ConstitutionNd,ConstitutionOR,RT
bikinatroll,bikinatroll,Tweet
Crypstian,FlatEarthDoc,RT
criewank,lmandal8,RT
WeenieLinguini,bikinatroll,RT
WeenieLinguini,floyd_marston,RT
WeenieLinguini,BenSonicz,RT
WeenieLinguini,FlatEarthBro,RT
WeenieLinguini,bikinatroll,RT
TheWiganParky,TheWiganParky,Tweet
bikinatroll,bikinatroll,Tweet
blkchsn,_sioz_,RT
flatearthstuff,FlatEarthDoc,RT
floyd_marston,floyd_marston,Tweet
bikinatroll,bikinatroll,Tweet
gldfit11,IAMAWAKE8,RT
bikinatroll,bikinatroll,Tweet
GreyTonka,GreyTonka,Tweet
Xaquery1,Xaquery1,Tweet
BenSonicz,BenSonicz,Tweet
zone4boy44,Spacehehehe,RT
duzdunyamm,_sioz_,RT
duzdunyamm,SabitDunya,RT
duzdunyamm,degimli42,RT
FlatEarthBro,FlatEarthBro,Tweet
PlatEurth,_sioz_,RT
NothingSirius,NothingSirius,Tweet
bikinatroll,bikinatroll,Tweet
AmDigitalNews,FlatFlix,RT
thinkfree55,IAMAWAKE8,RT
fatsoenspolitie,fatsoenspolitie,Tweet
bikinatroll,bikinatroll,Tweet
_sioz_,_sioz_,Tweet
BenSonicz,BenSonicz,Tweet
FlatFlix,FlatFlix,Tweet
facebones777,FE_Spaceman,RT
WeenieLinguini,flatearth_fact,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,GogetaTheSavage,RT
WeenieLinguini,piamtperez,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,FlatEarthBro,RT
flatearth_fact,flatearth_fact,Tweet
widyanef,ashoukaFE,RT
