,Betweenness,Degree,Closeness,In Degree,Out Degree
FlatFlix,3.8550621492205595e-05,0.020026702269692925,0.0020026702269692926,0.0026702269692923898,0.017356475300400534
trump_start,5.202513021890093e-07,0.0033377837116154874,0.0020861148197596794,0.002002670226969292,0.0013351134846461949
Constitution_NH,3.0323218756159404e-05,0.010680907877169559,0.006408544726301736,0.006675567423230975,0.004005340453938584
MccarthydoDave,0.0,0.0013351134846461949,0.0045117628101836935,0.0013351134846461949,0.0
DAPFpodcast,0.0,0.022029372496662217,0.0,0.0006675567423230974,0.021361815754339118
wiretechgirl,0.0,0.0026702269692923898,0.0013351134846461949,0.002002670226969292,0.0006675567423230974
TrustFlatEarth,8.344459279038718e-05,0.038050734312416554,0.002136181575433912,0.0026702269692923898,0.035380507343124167
xrp_hodl_,0.0,0.0006675567423230974,0.0016688918558077437,0.0006675567423230974,0.0
goofy_1_goofy,0.0,0.004672897196261682,0.0,0.0006675567423230974,0.004005340453938584
Trilluminarian,0.0,0.0026702269692923898,0.0,0.0006675567423230974,0.002002670226969292
ConstitutionOR,0.0,0.004005340453938584,0.0,0.0006675567423230974,0.0033377837116154874
ConstitutionNd,1.1148242189764487e-06,0.006008010680907877,0.0026702269692923898,0.0033377837116154874,0.0026702269692923898
bikinatroll,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
FlatEarthDoc,0.0,0.011348464619492656,0.0,0.0006675567423230974,0.010680907877169559
Crypstian,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
lmandal8,0.0,0.0006675567423230974,0.0,0.0,0.0006675567423230974
criewank,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
WeenieLinguini,0.0,0.2336448598130841,0.23549102152151835,0.2336448598130841,0.0
floyd_marston,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
BenSonicz,0.0,0.0026702269692923898,0.0,0.0006675567423230974,0.002002670226969292
FlatEarthBro,1.3377890627717385e-06,0.0033377837116154874,0.0008900756564307966,0.0013351134846461949,0.002002670226969292
TheWiganParky,0.0,0.0013351134846461949,0.0,0.0006675567423230974,0.0006675567423230974
_sioz_,0.0,0.0033377837116154874,0.0,0.0006675567423230974,0.0026702269692923898
blkchsn,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
flatearthstuff,0.0,0.0013351134846461949,0.0013351134846461949,0.0013351134846461949,0.0
IAMAWAKE8,0.0,0.0053404539385847796,0.0,0.0006675567423230974,0.004672897196261682
gldfit11,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
GreyTonka,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
Xaquery1,0.0,0.0013351134846461949,0.0,0.0006675567423230974,0.0006675567423230974
Spacehehehe,0.0,0.102803738317757,0.0,0.0006675567423230974,0.10213618157543392
zone4boy44,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
duzdunyamm,0.0,0.002002670226969292,0.002136181575433912,0.002002670226969292,0.0
SabitDunya,0.0,0.0013351134846461949,0.0,0.0,0.0013351134846461949
degimli42,3.1215078131340565e-06,0.008678237650200267,0.0006675567423230974,0.0013351134846461949,0.007343124165554072
PlatEurth,0.0,0.002002670226969292,0.0020026702269692926,0.002002670226969292,0.0
NothingSirius,0.0,0.006008010680907877,0.0,0.0006675567423230974,0.0053404539385847796
AmDigitalNews,7.580804689039851e-07,0.004005340453938584,0.0017801513128615932,0.002002670226969292,0.002002670226969292
thinkfree55,0.0,0.0013351134846461949,0.001525843982452794,0.0013351134846461949,0.0
fatsoenspolitie,0.0,0.0013351134846461949,0.0,0.0006675567423230974,0.0006675567423230974
FE_Spaceman,0.0,0.004005340453938584,0.0,0.0006675567423230974,0.0033377837116154874
facebones777,0.0,0.0013351134846461949,0.0013351134846461949,0.0013351134846461949,0.0
flatearth_fact,1.2040101564945646e-05,0.011348464619492656,0.0008900756564307966,0.0013351134846461949,0.010013351134846462
TibeluthedT,0.0,0.0033377837116154874,0.0,0.0006675567423230974,0.0026702269692923898
GogetaTheSavage,0.0,0.0026702269692923898,0.0,0.0006675567423230974,0.002002670226969292
piamtperez,0.0,0.0026702269692923898,0.0,0.0006675567423230974,0.002002670226969292
ashoukaFE,8.24969922042572e-06,0.007343124165554072,0.0017801513128615932,0.002002670226969292,0.0053404539385847796
widyanef,0.0,0.0006675567423230974,0.001517174414370676,0.0006675567423230974,0.0
IFDrinkLib,0.0,0.0013351134846461949,0.0,0.0006675567423230974,0.0006675567423230974
flatearthmoon,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
BotSiduri,3.188397266272643e-05,0.06275033377837116,0.06115171105333427,0.06141522029372497,0.0013351134846461949
economymytomato,0.0,0.0013351134846461949,0.0013351134846461949,0.0013351134846461949,0.0
FlatEarthOrg,0.0,0.010680907877169559,0.0,0.0006675567423230974,0.010013351134846462
tathrynkarp,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
YKeyALCEj78NGPC,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
StanleyRoberts,0.0,0.004672897196261682,0.0,0.0006675567423230974,0.004005340453938584
Pure19_94,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
AdFreeTalkRadio,0.0,0.0026702269692923898,0.0026702269692923898,0.0026702269692923898,0.0
BadIdeasPodcast,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
SamuraiPizzaCop,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
MassaVitao,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
TKOprovidence,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
itisyaya,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
Harlem19therare,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
PeaceWTF,6.633204102909869e-06,0.006008010680907877,0.003379506008010681,0.0033377837116154874,0.0026702269692923898
FlatEarthExpert,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
iebaby,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
TheShonkyLab,0.0,0.004005340453938584,0.0,0.0006675567423230974,0.0033377837116154874
LunchMoney_Al,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
SmokeBreakMusic,3.1215078131340565e-06,0.010013351134846462,0.008651535380507343,0.008678237650200267,0.0013351134846461949
arasquez,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
slave2holyghost,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
muhdyusuf19,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
SWStribling,0.0,0.002002670226969292,0.0,0.0006675567423230974,0.0013351134846461949
PrismPrime,0.0,0.0013351134846461949,0.0015020026702269695,0.0013351134846461949,0.0
OswaldTCamel,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
cipherEquality,0.0,0.0006675567423230974,0.0016688918558077437,0.0006675567423230974,0.0
LucaDivesDeep,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
Hypnogoria,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
JBLOGDOG,0.0,0.0013351134846461949,0.0,0.0006675567423230974,0.0006675567423230974
TakingTheAsk,1.2263066408740936e-05,0.0053404539385847796,0.004029181766164409,0.0013351134846461949,0.004005340453938584
Ayedthu_,0.0,0.0006675567423230974,0.0006675567423230974,0.0006675567423230974,0.0
genna65,0.0,0.0033377837116154874,0.003634475597092419,0.0033377837116154874,0.0
