,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,trump_start,1474,561,0,22051,,,,FlatFlix,344,135,2,878,,,
1,RT,MccarthydoDave,2092,3487,5,15960,,,,Constitution_NH,392,55,72,27770,,,
2,RT,wiretechgirl,4707,2383,373,110304,,,,DAPFpodcast,7552,4704,269,24517,,,
3,RT,xrp_hodl_,513,615,3,10338,,,,TrustFlatEarth,172,302,2,264,,,
4,Tweet,Constitution_NH,392,55,72,27770,,,,Constitution_NH,172,302,2,264,,,
5,Tweet,goofy_1_goofy,157,907,5,8338,,,,goofy_1_goofy,172,302,2,264,,,
6,RT,Constitution_NH,392,55,72,27770,,,,Trilluminarian,2022,2101,19,22551,,,
7,RT,ConstitutionNd,200,19,72,30091,,,,ConstitutionOR,156,1,21,8367,,,
8,Tweet,bikinatroll,2653,1966,87,134194,,,,bikinatroll,156,1,21,8367,,,
9,RT,Crypstian,565,833,5,6310,,,,FlatEarthDoc,810,5,8,650,,,
10,RT,criewank,2,9,0,2,,,,lmandal8,3,32,0,2,,,
11,RT,WeenieLinguini,503,2,9,61770,,,,bikinatroll,2653,1966,87,134194,,,
12,RT,WeenieLinguini,503,2,9,61770,,,,floyd_marston,196,759,3,2022,,,
13,RT,WeenieLinguini,503,2,9,61770,,,,BenSonicz,440,999,26,27950,,,
14,RT,WeenieLinguini,503,2,9,61770,,,,FlatEarthBro,66,278,0,1128,,,
15,RT,WeenieLinguini,503,2,9,61770,,,,bikinatroll,2653,1966,87,134194,,,
16,Tweet,TheWiganParky,137,793,0,3665,,,,TheWiganParky,2653,1966,87,134194,,,
17,Tweet,bikinatroll,2653,1966,87,134194,,,,bikinatroll,2653,1966,87,134194,,,
18,RT,blkchsn,104,269,0,664,,,,_sioz_,64,116,0,455,,,
19,RT,flatearthstuff,1224,810,8,8245,,,,FlatEarthDoc,810,5,8,650,,,
20,Tweet,floyd_marston,196,759,3,2022,,,,floyd_marston,810,5,8,650,,,
21,Tweet,bikinatroll,2653,1966,87,134194,,,,bikinatroll,810,5,8,650,,,
22,RT,gldfit11,31,9,3,4088,,,,IAMAWAKE8,86,3,4,997,,,
23,Tweet,bikinatroll,2653,1966,87,134194,,,,bikinatroll,86,3,4,997,,,
24,Tweet,GreyTonka,2641,950,11,34466,,,,GreyTonka,86,3,4,997,,,
25,Tweet,Xaquery1,16,3,1,835,,,,Xaquery1,86,3,4,997,,,
26,Tweet,BenSonicz,440,999,26,27950,,,,BenSonicz,86,3,4,997,,,
27,RT,zone4boy44,21,66,0,711,,,,Spacehehehe,9903,1676,45,1367,,,
28,RT,duzdunyamm,2,11,0,5,,,,_sioz_,64,116,0,455,,,
29,RT,duzdunyamm,2,11,0,5,,,,SabitDunya,163,29,1,85,,,
30,RT,duzdunyamm,2,11,0,5,,,,degimli42,929,291,6,4773,,,
31,Tweet,FlatEarthBro,66,278,0,1128,,,,FlatEarthBro,929,291,6,4773,,,
32,RT,PlatEurth,3779,3254,10,6051,,,,_sioz_,64,116,0,455,,,
33,Tweet,NothingSirius,9022,9864,218,42183,,,,NothingSirius,64,116,0,455,,,
34,Tweet,bikinatroll,2653,1966,87,134194,,,,bikinatroll,64,116,0,455,,,
35,RT,AmDigitalNews,3501,2157,15,41903,,,,FlatFlix,344,135,2,878,,,
36,RT,thinkfree55,4516,3741,16,11895,,,,IAMAWAKE8,86,3,4,997,,,
37,Tweet,fatsoenspolitie,330,574,2,10212,,,,fatsoenspolitie,86,3,4,997,,,
38,Tweet,bikinatroll,2653,1966,87,134194,,,,bikinatroll,86,3,4,997,,,
39,Tweet,_sioz_,64,116,0,455,,,,_sioz_,86,3,4,997,,,
40,Tweet,BenSonicz,440,999,26,27950,,,,BenSonicz,86,3,4,997,,,
41,Tweet,FlatFlix,344,135,2,878,,,,FlatFlix,86,3,4,997,,,
42,RT,facebones777,6054,3841,113,28468,,,,FE_Spaceman,6,66,0,38,,,
43,RT,WeenieLinguini,503,2,9,61770,,,,flatearth_fact,148,201,0,376,,,
44,RT,WeenieLinguini,503,2,9,61770,,,,TibeluthedT,570,4,30,11603,,,
45,RT,WeenieLinguini,503,2,9,61770,,,,GogetaTheSavage,0,0,0,19,,,
46,RT,WeenieLinguini,503,2,9,61770,,,,piamtperez,56,128,0,5879,,,
47,RT,WeenieLinguini,503,2,9,61770,,,,DAPFpodcast,7552,4704,269,24517,,,
48,RT,WeenieLinguini,503,2,9,61770,,,,FlatEarthBro,66,278,0,1128,,,
49,Tweet,flatearth_fact,148,201,0,376,,,,flatearth_fact,66,278,0,1128,,,
50,RT,widyanef,481,459,0,5111,,,,ashoukaFE,434,148,2,6206,,,
51,Tweet,TibeluthedT,570,4,30,11603,,,,TibeluthedT,434,148,2,6206,,,
52,Tweet,IFDrinkLib,142,338,2,4856,,,,IFDrinkLib,434,148,2,6206,,,
53,Tweet,flatearthmoon,406,317,13,10827,,,,flatearthmoon,434,148,2,6206,,,
54,RT,BotSiduri,401,520,147,37656,,,,FlatEarthBro,66,278,0,1128,,,
55,RT,BotSiduri,401,520,147,37656,,,,DAPFpodcast,7552,4704,269,24517,,,
56,RT,BotSiduri,401,520,147,37656,,,,piamtperez,56,128,0,5879,,,
57,RT,BotSiduri,401,520,147,37656,,,,GogetaTheSavage,0,0,0,19,,,
